,ask_price,ask_price_grad,ask_volat,bid_price,bid_price_grad,bid_volat,imbalance,spread,ask_dwt,bid_dwt,ask_dwt_grad,bid_dwt_grad
0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2,2.0,0.0,5.0,2.0,0.0,5.0,4.0,5.0,2.0,2.0,2.0,0.0
3,2.0,2.0,5.0,2.0,2.0,5.0,0.0,5.0,2.0,2.0,2.0,2.0
4,2.0,2.0,5.0,2.0,2.0,5.0,4.0,5.0,2.0,2.0,2.0,2.0
5,2.0,2.0,5.0,2.0,2.0,5.0,0.0,5.0,2.0,2.0,2.0,2.0
6,2.0,2.0,5.0,2.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0
7,2.0,3.0,5.0,2.0,2.0,5.0,5.0,5.0,2.0,2.0,3.0,2.0
8,2.0,3.0,5.0,2.0,2.0,5.0,5.0,5.0,2.0,2.0,3.0,2.0
9,0.0,2.0,5.0,0.0,2.0,5.0,2.0,5.0,0.0,0.0,2.0,2.0
10,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
11,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
12,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
13,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
14,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
15,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
16,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
17,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
18,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
19,4.0,3.0,5.0,4.0,0.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0
20,4.0,3.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0
21,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0
22,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
23,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
24,4.0,2.0,5.0,4.0,2.0,5.0,3.0,5.0,4.0,4.0,2.0,2.0
25,4.0,2.0,5.0,4.0,2.0,5.0,3.0,5.0,4.0,4.0,2.0,2.0
26,4.0,2.0,5.0,4.0,2.0,5.0,0.0,5.0,4.0,4.0,3.0,2.0
27,4.0,3.0,5.0,4.0,2.0,5.0,4.0,5.0,4.0,4.0,3.0,2.0
28,4.0,3.0,5.0,4.0,2.0,5.0,4.0,5.0,4.0,4.0,3.0,2.0
29,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0
30,4.0,5.0,5.0,4.0,5.0,5.0,0.0,5.0,4.0,4.0,5.0,5.0
31,4.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0
32,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
33,4.0,2.0,5.0,4.0,2.0,5.0,2.0,5.0,4.0,4.0,2.0,2.0
34,4.0,2.0,5.0,4.0,2.0,5.0,2.0,5.0,4.0,4.0,2.0,2.0
